tablerownames,ticker,company,constituentStart,constituentEnd,industryCode,industry
1,A.US Equity,Agilent Technologies Inc.,2000-06-02,null,351010,Health Care Equipment & Supplies
2,AA.US Equity,Alcoa Inc,1970-01-01,2016-10-31,151040,Metals & Mining
3,AAL.US Equity,American Airlines Group Inc,2015-03-20,null,203020,Airlines
4,AAP.US Equity,Advance Auto Parts Inc,2015-07-08,null,255040,Specialty Retail
5,AAPL.US Equity,Apple Inc.,1982-11-18,null,452020,Computers & Peripherals
6,ABBV.US Equity,AbbVie Inc.,2013-01-01,null,352020,Pharmaceuticals
7,ABC.US Equity,AmerisourceBergen Corp.,2001-08-29,null,351020,Health Care Providers & Services
9,ABK.US Equity,Ambac Financial Group Inc,2003-09-25,2008-06-10,403010,Insurance
10,ABT.US Equity,Abbott Laboratories,1970-01-01,null,351010,Health Care Equipment & Supplies
11,ACAS.US Equity,American Capital Ltd,2007-07-06,2009-03-02,402030,Capital Markets
12,ACN.US Equity,Accenture plc,2011-07-05,null,451020,IT Services
13,ACS.US Equity,Affiliated Computer Services,2004-04-01,2010-02-04,451020,IT Services
14,ADBE.US Equity,Adobe Systems Inc.,1997-05-05,null,451030,Software
15,ADI.US Equity,Analog Devices Inc.,1999-10-11,null,453010,Semiconductors & Semiconductor Equipment
16,ADM.US Equity,Archer-Daniels-Midland Co.,1981-07-30,null,302020,Food Products
17,ADP.US Equity,Automatic Data Processing Inc,1981-02-26,null,451020,IT Services
18,ADS.US Equity,Alliance Data Systems Corp,2013-12-20,2020-06-18,451020,IT Services
19,ADSK.US Equity,Autodesk Inc.,1989-12-20,null,451030,Software
20,AEE.US Equity,Ameren Corp.,1991-09-19,null,551030,Multi-Utilities
21,AEP.US Equity,"American Electric Power Company, Inc",1970-01-01,null,551010,Electric Utilities
22,AES.US Equity,AES Corp.,1998-10-01,null,551050,Independent Power Producers & Energy Traders
23,AET.US Equity,Aetna Inc.,1976-07-01,2018-11-28,351020,Health Care Providers & Services
24,AFL.US Equity,AFLAC Inc.,1999-05-27,null,403010,Insurance
25,AGN.US Equity,Allergan plc,1999-04-09,2020-05-08,352020,Pharmaceuticals
26,AIG.US Equity,AIG Inc.,1980-02-14,null,403010,Insurance
27,AIV.US Equity,Aimco,2003-03-13,null,601010,Equity Real Estate Investment Trusts (REITs)
28,AIZ.US Equity,Assurant Inc.,2007-04-09,null,403010,Insurance
29,AJG.US Equity,Arthur J. Gallagher & Co,2016-05-27,null,403010,Insurance
30,AKAM.US Equity,Akamai Technologies Inc.,2007-07-11,null,451020,IT Services
31,AKS.US Equity,AK Steel Holding Corp.,2008-06-30,2011-12-15,151040,Metals & Mining
32,ALB.US Equity,Albemarle Corp,2016-06-30,null,151010,Chemicals
33,ALK.US Equity,Alaska Air Group,2016-05-12,null,203020,Airlines
34,ALL.US Equity,Allstate Corp.,1995-07-12,null,403010,Insurance
35,ALLE.US Equity,Allegion Plc,2013-11-29,null,201020,Building Products
36,ALXN.US Equity,Alexion Pharmaceuticals Inc,2012-05-24,null,352010,Biotechnology
37,AMAT.US Equity,Applied Materials Inc.,1995-03-15,null,453010,Semiconductors & Semiconductor Equipment
38,AMD.US Equity,Advanced Micro Devices Inc,1984-06-21,2013-09-19,453010,Semiconductors & Semiconductor Equipment
39,AME.US Equity,AMETEK Inc,2013-09-20,null,201040,Electrical Equipment
40,AMG.US Equity,Affiliated Managers Group Inc,2014-06-30,2019-12-19,402030,Capital Markets
41,AMGN.US Equity,Amgen Inc.,1991-12-31,null,352010,Biotechnology
42,AMP.US Equity,Ameriprise Financial Inc,2005-09-30,null,402030,Capital Markets
43,AMT.US Equity,American Tower Corp.,2007-11-16,null,601010,Equity Real Estate Investment Trusts (REITs)
44,AMZN.US Equity,Amazon.com Inc.,2005-11-18,null,255020,Internet & Catalog Retail
45,AN.US Equity,AutoNation Inc.,2003-02-21,2017-08-06,255040,Specialty Retail
46,ANDV.US Equity,Andeavor,2007-09-26,2018-09-27,101020,"Oil, Gas & Consumable Fuels"
47,ANF.US Equity,Abercrombie & Fitch Co,2007-03-28,2013-12-19,255040,Specialty Retail
48,ANTM.US Equity,Anthem Inc.,2002-07-24,null,351020,Health Care Providers & Services
49,AON.US Equity,Aon plc,1996-04-22,null,403010,Insurance
