date,CDXTIL15,CDXTHL15,AMCIsUSD Index,SPX Index,SPTR Index,CCMP Index,INDU Index,SX5E Index,NKY Index,VIX Index,USGG2YR Index,USGG10YR Index,GC1 Comdty,CO1 Comdty,CU1 Comdty,DXY Curncy
2007-01-01,,,,,,,,,,,4.808,4.7022,,,,
2007-01-02,,,,,,,,4182.12,,,4.7913,4.6802,638.0,60.44,,83.27
2007-01-03,,,1.0269557,1416.6,2183.922,2423.16,12474.52,4188.24,,12.04,4.758,4.6582,629.8,57.96,,83.92
2007-01-04,,,1.0464889,1418.34,2186.603,2453.43,12480.69,4177.76,17353.67,11.51,4.6913,4.6024,626.2,55.11,57950.0,84.34
2007-01-05,,,1.0150115,1409.71,2173.292,2434.25,12398.01,4129.35,17091.59,12.14,4.7494,4.6442,606.9,55.64,54630.0,84.64
2007-01-08,,,1.0147731,1412.84,2178.802,2438.2,12423.49,4123.33,,12.0,4.7744,4.6522,609.4,55.6,52740.0,84.57
2007-01-09,,,1.0152744,1412.11,2177.678,2443.83,12416.6,4129.49,17237.77,11.91,4.7912,4.6542,615.0,55.18,53040.0,84.75
2007-01-10,,,1.0401547,1414.85,2182.161,2459.33,12442.16,4090.88,16942.4,11.47,4.808,4.6843,613.4,53.69,54250.0,85.07
2007-01-11,,,1.0783955,1423.82,2196.021,2484.85,12514.98,4165.95,16838.17,10.87,4.8502,4.7305,613.9,51.7,55670.0,85.28
2007-01-12,,,1.1298218,1430.73,2206.677,2502.82,12556.08,4174.8,17057.01,10.15,4.8758,4.775,626.9,52.95,54460.0,85.02
2007-01-15,,,,,,,,4187.36,17209.92,,4.8759,4.775,,53.12,54160.0,84.94
2007-01-16,,,1.1088064,1431.9,2208.482,2497.78,12582.59,4169.18,17202.46,10.74,4.859,4.7467,625.9,52.26,52620.0,85.06
2007-01-17,,,1.1141627,1430.62,2206.701,2479.42,12577.15,4146.73,17261.35,10.59,4.9016,4.7791,633.3,52.78,52730.0,84.94
2007-01-18,,,1.1035844,1426.37,2200.196,2443.21,12567.93,4137.31,17370.93,10.85,4.8762,4.7427,628.1,51.75,53020.0,84.91
2007-01-19,,,1.1301159,1430.5,2206.6,2451.31,12565.53,4173.07,17310.44,10.4,4.9107,4.7752,636.1,53.44,51290.0,84.86
2007-01-22,,,1.114265,1422.95,2195.003,2431.07,12477.16,4140.61,17424.18,10.77,4.9023,4.759,634.1,52.7,52330.0,85.04
2007-01-23,,,1.1353766,1427.99,2202.768,2431.41,12533.8,4140.19,17408.57,10.34,4.9367,4.8077,645.9,55.1,52400.0,84.67
2007-01-24,,,1.1702754,1440.13,2221.556,2466.28,12621.77,4187.55,17507.4,9.89,4.9283,4.8077,648.2,55.43,54020.0,84.93
2007-01-25,,,1.1120982,1423.9,2196.543,2434.24,12502.56,4175.7,17458.3,11.22,4.9663,4.8731,648.1,54.12,54560.0,85.11
